epid,fieldnumber,produce,groupname,Field size for selected field for trial (acre),Total Farm size (acre),Unfertilised grain yield kgs/acre Min,Unfertilised grain yield kgs/acre Avg,Unfertilised grain yield kgs/acre Max,Fertilized grain yield(kgs/acre) Min,Fertilized grain yield(kgs/acre) Avg,Fertilized grain yield(kgs/acre) Max,What is the highest maize grain yield in kgs_acre you have seen ,inspectiondate,Primary land preparation+O:AG method used,"If other, please specify",Any secondary land preparation done,Has soil sampling been done on this plot,1st Weeding Grow Stage,1st Weed Num plants harvest,1st Weed ground cover score,1st Weed Pest 1st sympton,Percentage 1st Weed 1st Pest symption,1st Weed Pest 2nd Sympton,Percentage 1st Weed 2nd Pest 2nd Sympton,1st Weed Pest 3rd Sympton,Percentage 1st Weed 3rd Pest Symtom,1st Weed Leaf discolour 1st Symtom,Percentage 1st Weed 1st Leaf discolour Symtom,1st Weed Leaf discolour 2nd Symtom,Percentage 1st Weed 2nd Leaf discolour Symtom,1st Weed Leaf discolour3rd Symtom,Percentage 1st Weed 3rd Leaf discolour Symtom,2nd Weeding date,2nd Weeding Growth Stage,2nd Weeding Weed ground cover score,2nd Weed Pest 1st Sympton,Percentage 2nd Weed Pest 1st Sympton,2nd Weed Pest 2nd Sympton,Percentage 2nd Weed Pest 2nd Sympton,2nd Weed Pest 3rd Sympton,Percentage 2nd Weed Pest 3rd Sympton,2nd Weed leaf discolour 1st Sympton,Percentage 2nd Weed Leaf discolouring 1st Sympton,2nd Weed leaf discolour 2nd Sympton,Percentage 2nd Weed Leaf discolouring 2nd Sympton,2nd Weed leaf discolour 3rd Sympton,Percentage 2nd Weed Leaf discolouring 3rd Sympton,2nd Weeding other problem,1st Top Dressing Date,1st Top Growth Stage,1st Top Weed ground cover score,1st Top Pest 1st Symptom,Percentage 1st Top Pest 1st Symptom,1st Top Pest 2nd Symptom,Percentage 1st Top Pest 2nd Symptom,1st Top Pest 3rd Symptom,Percentage 1st Top Pest 3rd Symptom,1st Top Leaf discoloruing 1st Symptom,Percentage of 1st Top Leaf discoloruing 1st Symptom,1st Top Leaf discoloruing 2nd Symptom,Percentage of 1st Top Leaf discoloruing 2nd Symptom,1st Top Leaf discoloruing 3rd Symptom,Percentage of 1st Top Leaf discoloruing 3rd Symptom,1st Top problems,1st Top any deviaton from protocol,2nd Top  Dressing Date,2nd Top Dressing Growth Stage,Compare leaf colour with leaf colour chart Record leaf colour,Has second top dressing been applied,Note any deviation from top-dressing protocol,2nd Top Pest 1st Symptom,Percentage 2nd Top Pest 1st Symptom,2nd Top Pestnd Symptom,2nd Top Pest 2nd Symptom,2nd Top Pest 3rd Symptom,Percentage 2nd Top Pest 3rd Symptom,2nd Top Leave discolouring 1st Symptom,Percentage 2nd Top Leave discolouring 1st Symptom,2nd Top Leave discolouring 2nd Symptom,Percentage 2nd Top Leave discolouring 2nd Symptom,2nd Top Leave discolouring 3rd Symptom,Percentage 2nd Top Leave discolouring 3rd Symptom,2nd Top Dressing Other Problems
IS001,IS001 ,Farm,Northern 1,1,20,,500,,500,600,900,1600,,,,,,,,,,,,,,,,,,,,,31-Aug-20,V7,61-80%,No,No,No,No,No,No,Yes,1,No,No,No,No,Plants growth seized leaves dying due to residues on knap sack used to sprayed FAW,31-Aug-20,V9,0-20%,No,No,No,No,No,No,Yes,1,No,No,No,No,Chemicals residues affected plants during fall army worm spraying,,13-Sep-20,VT,2,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,70% die off due to the chemical residues
IS001,IS001 RT-F,Maize,Northern 1,,,,,,,,,,,,,,,V3,35,0-20%,yes,0.02,no,No,No,No,No,No,No,No,No,No,31-Aug-20,V5,21-40%,No,No,No,No,No,No,Yes,1,No,No,No,No,Plants growth seized leaves dying due to glyphophosate residues on Knapsack used to sprayed FAW,31-Aug-20,V9,0-20%,No,No,No,No,No,No,Yes,1,No,No,No,No,Chemicals residues affected plants during fall army worm spraying,No,13-Sep-20,V8,2,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,95% of the plants die off
IS001,IS001 RT-R,Maize,Northern 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-Aug-20,V7,61-80%,No,No,No,No,No,No,Yes,1,No,No,No,No,Plants growth seized leaves dying due to glyphophosate residues on Knapsack used to sprayed FAW,31-Aug-20,V9,0-20%,No,No,No,No,No,No,Yes,1,No,No,No,No,Chemicals residues affected plants during fall army worm spraying,No,13-Sep-20,V10,2,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,75% die off due to residues of chemical on the plants
IS001,IS001 NT-PK,Maize,Northern 1,,,,,,,,,,17-Jul-20,Tractor Plough,,Hand levelling,YES,V3,36,0-20%,yes,0.02,no,No,No,No,No,No,No,No,No,No,31-Aug-20,V5,0-20%,No,No,No,No,No,No,Yes,1,No,No,No,No,Plants seized growth leaves dying due to residues of glyphophosate on knap sack used in spraying FAW,31-Aug-20,V9,0-20%,No,No,No,No,No,No,Yes,1,No,No,No,No,Chemicals residues affected plants during fall army worm spraying,No,13-Sep-20,V9,2,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,20% die off
IS001,IS001 NT-NK,Maize,Northern 1,,,,,,,,,,,,,,,V3,36,0-20%,yes,0.05,no,No,No,No,No,No,No,No,No,No,31-Aug-20,V5,0-20%,No,No,No,No,No,No,Yes,1,No,No,No,No,Plants seized growth leaves dying due to glyphophosate residues on knap sack used to spray FAW,31-Aug-20,V9,0-20%,No,No,No,No,No,No,Yes,1,No,No,No,No,Chemicals residues affected plants during fall army worm spraying,No,13-Sep-20,V7,2,NO,No,Yes,0.5,no,No,No,No,No,No,No,No,No,No,10% die off and the 90%surviving fall army worm attack about 50%
IS001,IS001 NT-NP,Maize,Northern 1,,,,,,,,,,,,,,,V3,36,0-20%,yes,0.05,no,No,No,No,No,No,No,No,No,No,31-Aug-20,V7,0-20%,No,,No,No,No,No,Yes,1,no,No,No,No,"Plants seized growth, leavesdying du to to glyphophosate residues on knap sack used for spraying FAW",31-Aug-20,V9,0-20%,No,No,No,No,No,No,Yes,1,No,No,No,No,Chemicals residues affected plants during fall army worm spraying,No,13-Sep-20,V6,2,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,80% of the plants die off due the chemical residues.
IS001,IS001 NT-NPK,Maize,Northern 1,,,,,,,,,,,,,,,V3,35,0-20%,yes,0.02,no,No,No,No,No,No,No,No,No,No,31-Aug-20,V5,0-20%,No,,No,No,No,No,Yes,1,No,No,No,No,Farmer after spraying fall army worm all the plants start wilting and growth seized. I suspected gly,31-Aug-20,V9,0-20%,No,No,No,No,No,No,Yes,1,No,No,No,No,Chemicals residues affected plants during fall army worm spraying,No,13-Sep-20,V6,2,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,The chemical kill 50% of the plants completely which will not recover. The stem shots up 3 or more
IS002,IS002,Farm,Northern 1,1,70,,400,,700,1300,1600,1900,,,,,,V3,30,0-20%,no,No,No,No,No,No,Yes,0.03,no,No,No,No,31-Aug-20,V7,0-20%,No,,No,No,No,No,Yes,0.1,No,No,No,No,"Stunted growth, farmer have not yet apply fertilizer",31-Aug-20,V7,0-20%,No,No,No,No,No,No,No,No,No,No,No,No,Stunted growth due to farmer not yet apply fertilizer,No,13-Sep-20,V9,2,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,Plants are yellowish lower than what is in the color chart for comarism. Stunted growth
IS002,IS002,Farm,Northern 1,1,70,,400,,700,1300,1600,1900,,,,,,V3,30,0-20%,no,No,No,No,No,No,Yes,0.03,no,No,No,No,31-Aug-20,V7,0-20%,No,,No,No,No,No,Yes,0.1,No,No,No,No,"Stunted growth, farmer have not yet apply fertilizer",31-Aug-20,V7,0-20%,No,No,No,No,No,No,No,No,No,No,No,No,Stunted growth due to farmer not yet apply fertilizer,No,13-Sep-20,V10,2,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,Stunted growth of plants yellowish lower than the color chart for comarism
IS002,IS002 RT-F,Maize,Northern 1,,,,,,,,,,,,,,,V3,35,0-20%,yes,0.01,no,No,No,No,No,No,No,No,No,No,31-Aug-20,V9,0-20%,No,,No,No,No,No,No,No,No,No,No,No,No,31-Aug-20,V10,0-20%,No,No,No,No,No,No,No,No,No,No,No,No,No,No,13-Sep-20,VT,5,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,No
